accuracy,auc,F1,precision,recall
0.75,0.73,0.737,0.686,0.7
0.6666666865348816,0.674,0.667,0.638,0.667
0.717,0.717,0.712,0.657,0.7
0.800000011920929,0.811,0.778,0.793,0.7
0.800000011920929,0.83,0.793,0.806,0.767
0.667,0.667,0.655,0.613,0.633
0.8999999761581421,0.896,0.903,0.88,0.933
0.8333333134651184,0.909,0.844,0.918,0.9
0.717,0.717,0.761,0.643,0.9
0.699999988079071,0.849,0.654,0.861,0.567
0.7666666507720947,0.837,0.794,0.844,0.9
0.833,0.833,0.828,0.786,0.8
0.699999988079071,0.749,0.625,0.721,0.5
0.6833333373069763,0.716,0.642,0.688,0.567
0.633,0.633,0.621,0.586,0.6
0.8833333253860474,0.893,0.889,0.86,0.933
0.8666666746139526,0.868,0.867,0.84,0.867
0.883,0.883,0.873,0.868,0.8
0.7166666388511658,0.758,0.667,0.753,0.567
0.7833333611488342,0.791,0.772,0.779,0.733
0.817,0.817,0.792,0.789,0.7
0.7833333611488342,0.851,0.755,0.833,0.667
0.7833333611488342,0.824,0.787,0.797,0.8
0.817,0.817,0.8,0.779,0.733
0.7666666507720947,0.864,0.708,0.858,0.567
0.7666666507720947,0.856,0.75,0.864,0.7
0.767,0.767,0.731,0.73,0.633
0.800000011920929,0.876,0.806,0.856,0.833
0.8166666626930237,0.886,0.841,0.849,0.967
0.783,0.783,0.8,0.71,0.867
