accuracy,auc,F1,precision,recall
0.7551020383834839,0.752,0.826,0.726,0.864
0.7653061151504517,0.749,0.83,0.735,0.848
0.755,0.649,0.84,0.747,0.955
0.8163265585899353,0.869,0.871,0.858,0.924
0.8163265585899353,0.844,0.862,0.822,0.848
0.786,0.688,0.859,0.768,0.97
0.7448979616165161,0.778,0.823,0.738,0.879
0.7448979616165161,0.75,0.815,0.71,0.833
0.786,0.68,0.861,0.763,0.985
0.7755101919174194,0.762,0.833,0.7,0.833
0.7755101919174194,0.793,0.831,0.728,0.818
0.837,0.79,0.884,0.834,0.924
0.795918345451355,0.839,0.851,0.799,0.864
0.795918345451355,0.862,0.851,0.82,0.864
0.735,0.626,0.827,0.734,0.939
0.8163265585899353,0.867,0.866,0.821,0.879
0.8061224222183228,0.863,0.865,0.847,0.924
0.816,0.743,0.875,0.802,0.955
0.7113401889801025,0.788,0.781,0.783,0.758
0.7113401889801025,0.752,0.781,0.736,0.758
0.732,0.658,0.814,0.758,0.864
0.8020833134651184,0.911,0.829,0.877,0.708
0.8020833134651184,0.888,0.848,0.857,0.815
0.823,0.76,0.878,0.815,0.938
0.7916666865348816,0.809,0.841,0.739,0.815
0.78125,0.844,0.829,0.786,0.785
0.771,0.687,0.845,0.771,0.923
0.7083333134651184,0.671,0.8,0.645,0.862
0.7291666865348816,0.665,0.822,0.663,0.923
0.708,0.574,0.816,0.711,0.954
